,logFC,AveExpr,t,P.Value,adj.P.Val,B,sig_lfc1,sig_lfc1.5,sig_lfc2,sig_lfc3
GRAMD4,-0.136165265,7.7751739,-0.689253233,0.494380931,0.948148332,-4.911977772,Not Significant,Not Significant,Not Significant,Not Significant
TCFL5,0.220391555,8.386582467,0.689102761,0.494474665,0.948148332,-4.912040826,Not Significant,Not Significant,Not Significant,Not Significant
FMOD,-0.370342435,10.35217033,-0.689055501,0.494504107,0.948148332,-4.912060627,Not Significant,Not Significant,Not Significant,Not Significant
FHL3,0.120133274,7.883428616,0.689042115,0.494512446,0.948148332,-4.912066236,Not Significant,Not Significant,Not Significant,Not Significant
MED12,0.121141334,8.24364648,0.689009328,0.494532872,0.948148332,-4.912079972,Not Significant,Not Significant,Not Significant,Not Significant
RPP25,0.234444256,7.707463535,0.688882048,0.494612172,0.948148332,-4.912133291,Not Significant,Not Significant,Not Significant,Not Significant
CDK5RAP2,0.129919458,8.072036185,0.688557708,0.494814279,0.948148332,-4.912269116,Not Significant,Not Significant,Not Significant,Not Significant
BEX4,0.314290917,10.37574378,0.688312043,0.49496739,0.948148332,-4.912371952,Not Significant,Not Significant,Not Significant,Not Significant
HOXB3,-0.503219449,7.95011253,-0.688300431,0.494974629,0.948148332,-4.912376812,Not Significant,Not Significant,Not Significant,Not Significant
CHP1,-0.171931877,8.843852467,-0.688153239,0.49506638,0.948148332,-4.912438409,Not Significant,Not Significant,Not Significant,Not Significant
SPSB1,0.259341868,8.453194788,0.687803706,0.495284298,0.948197016,-4.912584632,Not Significant,Not Significant,Not Significant,Not Significant
ANXA6,-0.131850367,8.134941762,-0.687480366,0.495485933,0.948197016,-4.912719833,Not Significant,Not Significant,Not Significant,Not Significant
CCNG2,-0.177835398,8.555389448,-0.687275818,0.495613512,0.948197016,-4.91280533,Not Significant,Not Significant,Not Significant,Not Significant
TNFAIP8,0.249695821,8.075386324,0.687194058,0.495664511,0.948197016,-4.912839497,Not Significant,Not Significant,Not Significant,Not Significant
TPSG1,0.148802625,7.863962183,0.687110558,0.4957166,0.948197016,-4.912874388,Not Significant,Not Significant,Not Significant,Not Significant
PXDN,0.383293028,9.681484981,0.686085565,0.49635625,0.948853737,-4.913302345,Not Significant,Not Significant,Not Significant,Not Significant
GFPT2,0.299164522,8.003400661,0.685641868,0.496633281,0.948853737,-4.913487406,Not Significant,Not Significant,Not Significant,Not Significant
SRPK1,-0.17147796,9.712390035,-0.68540609,0.496780529,0.948853737,-4.9135857,Not Significant,Not Significant,Not Significant,Not Significant
FGL1,0.115329005,7.375082484,0.685369359,0.49680347,0.948853737,-4.91360101,Not Significant,Not Significant,Not Significant,Not Significant
AARS1,0.267310591,10.66654341,0.68534602,0.496818047,0.948853737,-4.913610737,Not Significant,Not Significant,Not Significant,Not Significant
TTC4,0.16076726,9.026374027,0.685191795,0.49691438,0.948853737,-4.913675009,Not Significant,Not Significant,Not Significant,Not Significant
ATP5ME,0.225828016,11.33158356,0.685158371,0.49693526,0.948853737,-4.913688936,Not Significant,Not Significant,Not Significant,Not Significant
ZFPL1,0.163121022,7.437228561,0.684916665,0.49708626,0.948903281,-4.913789631,Not Significant,Not Significant,Not Significant,Not Significant
NOC3L,-0.226956133,9.358377214,-0.684648574,0.497253774,0.948984315,-4.913901278,Not Significant,Not Significant,Not Significant,Not Significant
COX7A2L,0.155683316,11.50453467,0.684066969,0.49761729,0.949077233,-4.914143343,Not Significant,Not Significant,Not Significant,Not Significant
TIPRL,-0.207579854,8.661812282,-0.68381691,0.497773628,0.949077233,-4.914247357,Not Significant,Not Significant,Not Significant,Not Significant
PRDX4,0.212170839,11.65501152,0.683298026,0.498098122,0.949077233,-4.914463072,Not Significant,Not Significant,Not Significant,Not Significant
PPL,-0.463621026,9.562688579,-0.683181321,0.498171122,0.949077233,-4.914511568,Not Significant,Not Significant,Not Significant,Not Significant
KIF20B,-0.284594123,8.012122815,-0.682831982,0.498389671,0.949077233,-4.914656685,Not Significant,Not Significant,Not Significant,Not Significant
INPP1,0.19678593,8.96829756,0.682580029,0.498547329,0.949077233,-4.914761303,Not Significant,Not Significant,Not Significant,Not Significant
HOXD9,0.150681395,6.891988381,0.68243388,0.498638792,0.949077233,-4.914821971,Not Significant,Not Significant,Not Significant,Not Significant
MRPL57,0.170109617,9.575450669,0.682259089,0.498748192,0.949077233,-4.914894511,Not Significant,Not Significant,Not Significant,Not Significant
ZNF839,-0.144983269,7.420378941,-0.682246894,0.498755825,0.949077233,-4.914899572,Not Significant,Not Significant,Not Significant,Not Significant
ATG101,-0.235739297,10.40356144,-0.681580798,0.499172856,0.949077233,-4.915175842,Not Significant,Not Significant,Not Significant,Not Significant
CAVIN1,0.34509264,9.174080499,0.681400382,0.499285843,0.949077233,-4.915250626,Not Significant,Not Significant,Not Significant,Not Significant
MORC4,-0.304851015,8.23864702,-0.681397804,0.499287458,0.949077233,-4.915251695,Not Significant,Not Significant,Not Significant,Not Significant
H1-2,0.598370045,9.390400827,0.681158929,0.499437079,0.949077233,-4.915350681,Not Significant,Not Significant,Not Significant,Not Significant
RHBDF1,-0.138756496,7.585028815,-0.680794985,0.499665084,0.949077233,-4.915501429,Not Significant,Not Significant,Not Significant,Not Significant
MRGBP,0.20370487,8.16004051,0.680749987,0.499693279,0.949077233,-4.915520062,Not Significant,Not Significant,Not Significant,Not Significant
AHSA1,0.151509854,11.19249714,0.680698325,0.499725649,0.949077233,-4.915541453,Not Significant,Not Significant,Not Significant,Not Significant
TCF7L1,0.354130023,7.858448926,0.680339033,0.499950812,0.949077233,-4.915690177,Not Significant,Not Significant,Not Significant,Not Significant
HSPA6,0.241878695,8.114137827,0.680168588,0.500057646,0.949077233,-4.915760704,Not Significant,Not Significant,Not Significant,Not Significant
MBD3,0.089014251,8.398691906,0.680007365,0.500158712,0.949077233,-4.915827399,Not Significant,Not Significant,Not Significant,Not Significant
IPO8,-0.158956619,8.961013214,-0.679848879,0.500258073,0.949077233,-4.915892947,Not Significant,Not Significant,Not Significant,Not Significant
MRPS27,-0.115694793,7.384884797,-0.679368798,0.50055912,0.949077233,-4.916091412,Not Significant,Not Significant,Not Significant,Not Significant
CD38,0.327952147,7.631895365,0.679366048,0.500560845,0.949077233,-4.916092549,Not Significant,Not Significant,Not Significant,Not Significant
SPP1,-0.31092345,9.284452987,-0.679318594,0.500590608,0.949077233,-4.916112159,Not Significant,Not Significant,Not Significant,Not Significant
ILF2,-0.187716641,11.37796531,-0.678979165,0.500803523,0.949077233,-4.916252387,Not Significant,Not Significant,Not Significant,Not Significant
NKIRAS2,-0.193764987,8.681055899,-0.678857172,0.500880058,0.949077233,-4.916302769,Not Significant,Not Significant,Not Significant,Not Significant
PIP4K2A,0.141481023,8.110978795,0.678775736,0.500931152,0.949077233,-4.916336396,Not Significant,Not Significant,Not Significant,Not Significant
ENTR1,-0.131989144,7.314694685,-0.67859387,0.501045269,0.949077233,-4.916411481,Not Significant,Not Significant,Not Significant,Not Significant
CHST10,-0.148363296,8.294561122,-0.678562194,0.501065146,0.949077233,-4.916424556,Not Significant,Not Significant,Not Significant,Not Significant
PGGHG,0.316605688,7.398465894,0.678374761,0.501182773,0.949077233,-4.916501915,Not Significant,Not Significant,Not Significant,Not Significant
YKT6,-0.196366984,8.807780096,-0.67825735,0.501256464,0.949077233,-4.916550363,Not Significant,Not Significant,Not Significant,Not Significant
SEC13,-0.251542033,11.54029628,-0.677804914,0.501540484,0.949077233,-4.916736979,Not Significant,Not Significant,Not Significant,Not Significant
CDC25B,-0.288917025,9.879058099,-0.67725567,0.501885393,0.949077233,-4.916963362,Not Significant,Not Significant,Not Significant,Not Significant
AGRN,0.167555039,9.015758541,0.676830129,0.502152711,0.949077233,-4.917138636,Not Significant,Not Significant,Not Significant,Not Significant
IDUA,0.22154811,7.489623594,0.676794664,0.502174992,0.949077233,-4.917153239,Not Significant,Not Significant,Not Significant,Not Significant
DCPS,0.155293069,8.326611901,0.67664488,0.502269105,0.949077233,-4.917214904,Not Significant,Not Significant,Not Significant,Not Significant
LDB2,0.167508475,7.466936989,0.676412828,0.502414927,0.949077233,-4.917310413,Not Significant,Not Significant,Not Significant,Not Significant
SMARCA2,0.170653803,7.734774815,0.676173402,0.502565408,0.949077233,-4.917408923,Not Significant,Not Significant,Not Significant,Not Significant
CCN1,0.453468035,10.21164848,0.676150871,0.50257957,0.949077233,-4.917418191,Not Significant,Not Significant,Not Significant,Not Significant
UBA5,-0.16831482,8.821007726,-0.675826184,0.50278368,0.949077233,-4.917551723,Not Significant,Not Significant,Not Significant,Not Significant
PSMC6,0.236883698,10.15369045,0.675587792,0.502933571,0.949077233,-4.917649725,Not Significant,Not Significant,Not Significant,Not Significant
STRN4,0.175138189,8.471849172,0.675419532,0.503039379,0.949077233,-4.917718876,Not Significant,Not Significant,Not Significant,Not Significant
BLOC1S1,-0.209645234,9.821986523,-0.675372305,0.50306908,0.949077233,-4.917738282,Not Significant,Not Significant,Not Significant,Not Significant
PRRX2,0.220932788,8.309661555,0.675122255,0.503226351,0.949077233,-4.917841009,Not Significant,Not Significant,Not Significant,Not Significant
FNTB,0.175134672,7.668397342,0.674699944,0.503492026,0.949077233,-4.918014421,Not Significant,Not Significant,Not Significant,Not Significant
GJC2,0.101305507,7.289403376,0.674622957,0.503540467,0.949077233,-4.918046023,Not Significant,Not Significant,Not Significant,Not Significant
PHF3,-0.155051624,7.401461284,-0.674600734,0.50355445,0.949077233,-4.918055144,Not Significant,Not Significant,Not Significant,Not Significant
RPS4X,-0.101430744,13.71815944,-0.67458963,0.503561437,0.949077233,-4.918059702,Not Significant,Not Significant,Not Significant,Not Significant
HCFC1R1,0.222547946,9.34278758,0.67457897,0.503568145,0.949077233,-4.918064077,Not Significant,Not Significant,Not Significant,Not Significant
C6orf62,-0.198959468,8.602811669,-0.674276528,0.503758474,0.949077233,-4.918188182,Not Significant,Not Significant,Not Significant,Not Significant
RPL26L1,-0.198361235,10.5780222,-0.674258541,0.503769794,0.949077233,-4.91819556,Not Significant,Not Significant,Not Significant,Not Significant
CTC1,0.082923996,7.396528921,0.674125468,0.503853551,0.949077233,-4.918250147,Not Significant,Not Significant,Not Significant,Not Significant
GLO1,-0.186631922,11.99104815,-0.673562979,0.50420767,0.949077233,-4.918480766,Not Significant,Not Significant,Not Significant,Not Significant
SRSF1,-0.146592477,8.818448634,-0.67351013,0.504240949,0.949077233,-4.918502424,Not Significant,Not Significant,Not Significant,Not Significant
PSMA1,-0.135092229,11.52326858,-0.673329201,0.504354887,0.949077233,-4.918576559,Not Significant,Not Significant,Not Significant,Not Significant
CNN2,-0.250380927,9.628484744,-0.673048773,0.504531512,0.949077233,-4.918691425,Not Significant,Not Significant,Not Significant,Not Significant
RAB40C,0.111477241,7.208896514,0.67300069,0.5045618,0.949077233,-4.918711116,Not Significant,Not Significant,Not Significant,Not Significant
CST4,-0.247356081,8.296489686,-0.672967862,0.504582479,0.949077233,-4.918724559,Not Significant,Not Significant,Not Significant,Not Significant
ATOX1,-0.266351852,10.4246607,-0.672548823,0.504846484,0.949077233,-4.918896095,Not Significant,Not Significant,Not Significant,Not Significant
MPV17,0.145934645,9.576703206,0.672263348,0.505026383,0.949077233,-4.919012896,Not Significant,Not Significant,Not Significant,Not Significant
AQR,-0.159497622,7.02946262,-0.672220227,0.50505356,0.949077233,-4.919030534,Not Significant,Not Significant,Not Significant,Not Significant
LRIG2,-0.100793571,6.877221898,-0.672038553,0.505168068,0.949077233,-4.919104836,Not Significant,Not Significant,Not Significant,Not Significant
MYBPC3,0.099869653,7.77430343,0.671871326,0.505273483,0.949077233,-4.919173212,Not Significant,Not Significant,Not Significant,Not Significant
MRS2,-0.193528363,7.332504252,-0.671731902,0.50536138,0.949077233,-4.919230207,Not Significant,Not Significant,Not Significant,Not Significant
KRT83,0.120546345,6.59171389,0.671447705,0.505540574,0.949077233,-4.919346349,Not Significant,Not Significant,Not Significant,Not Significant
MED22,-0.174988877,8.082447826,-0.671242572,0.505669937,0.949077233,-4.91943015,Not Significant,Not Significant,Not Significant,Not Significant
VPS4B,-0.180391976,9.86986007,-0.671181835,0.505708243,0.949077233,-4.919454957,Not Significant,Not Significant,Not Significant,Not Significant
PARVA,0.157212825,7.841483438,0.671131076,0.505740257,0.949077233,-4.919475687,Not Significant,Not Significant,Not Significant,Not Significant
CTDNEP1,0.191659912,10.68571416,0.670445651,0.50617267,0.949077233,-4.919755472,Not Significant,Not Significant,Not Significant,Not Significant
SLC35E1,0.143470054,9.035358341,0.669952775,0.506483735,0.949077233,-4.919956488,Not Significant,Not Significant,Not Significant,Not Significant
DOK1,-0.15037256,8.057273777,-0.669515196,0.506759987,0.949077233,-4.920134832,Not Significant,Not Significant,Not Significant,Not Significant
MAPKBP1,0.112483503,7.756209252,0.669393937,0.506836555,0.949077233,-4.920184233,Not Significant,Not Significant,Not Significant,Not Significant
CDT1,-0.257003634,7.838517979,-0.66868193,0.507286272,0.949077233,-4.920474132,Not Significant,Not Significant,Not Significant,Not Significant
PTAFR,-0.177742522,8.334795988,-0.668654488,0.507303609,0.949077233,-4.920485299,Not Significant,Not Significant,Not Significant,Not Significant
STAT3,0.150294024,9.620318566,0.66827255,0.507544942,0.949077233,-4.920640678,Not Significant,Not Significant,Not Significant,Not Significant
GMPS,0.157019138,8.843843668,0.668094314,0.507657584,0.949077233,-4.920713158,Not Significant,Not Significant,Not Significant,Not Significant
BCL3,0.27798162,7.979330215,0.668051393,0.507684712,0.949077233,-4.920730609,Not Significant,Not Significant,Not Significant,Not Significant
SPRED2,-0.146975715,7.006686695,-0.667879734,0.507793214,0.949077233,-4.920800393,Not Significant,Not Significant,Not Significant,Not Significant
MAPK11,0.081444264,6.848649773,0.667671558,0.507924814,0.949077233,-4.920884998,Not Significant,Not Significant,Not Significant,Not Significant
EEF1B2,-0.178154097,12.77430089,-0.667648033,0.507939686,0.949077233,-4.920894557,Not Significant,Not Significant,Not Significant,Not Significant
DERL2,-0.218595598,9.365605452,-0.667613709,0.507961387,0.949077233,-4.920908504,Not Significant,Not Significant,Not Significant,Not Significant
TRIM24,-0.21645831,7.560522134,-0.667428295,0.508078618,0.949077233,-4.92098383,Not Significant,Not Significant,Not Significant,Not Significant
ERP44,-0.139256025,8.100727939,-0.667176645,0.508237752,0.949077233,-4.921086033,Not Significant,Not Significant,Not Significant,Not Significant
AGL,0.20758364,9.553453247,0.666975492,0.508364972,0.949077233,-4.921167701,Not Significant,Not Significant,Not Significant,Not Significant
ELP3,0.216518672,8.56399426,0.666964915,0.508371662,0.949077233,-4.921171995,Not Significant,Not Significant,Not Significant,Not Significant
NUDT18,-0.181900716,7.16264547,-0.666902003,0.508411455,0.949077233,-4.921197532,Not Significant,Not Significant,Not Significant,Not Significant
CTAGE15,0.183777272,9.154945863,0.66684096,0.508450067,0.949077233,-4.921222307,Not Significant,Not Significant,Not Significant,Not Significant
IL17RB,0.230319459,7.810463837,0.66619851,0.508856543,0.949077233,-4.921482929,Not Significant,Not Significant,Not Significant,Not Significant
PJA1,-0.179814537,10.57952844,-0.665985907,0.508991094,0.949077233,-4.921569122,Not Significant,Not Significant,Not Significant,Not Significant
NAIP,-0.181131351,6.516548766,-0.665792797,0.509113326,0.949077233,-4.921647389,Not Significant,Not Significant,Not Significant,Not Significant
ARHGEF3,0.296818117,9.590350768,0.665649123,0.509204277,0.949077233,-4.921705605,Not Significant,Not Significant,Not Significant,Not Significant
RBM25,0.178975871,9.038425274,0.665603381,0.509233235,0.949077233,-4.921724137,Not Significant,Not Significant,Not Significant,Not Significant
CMC4,0.24781514,9.645710486,0.665355693,0.509390056,0.949077233,-4.921824464,Not Significant,Not Significant,Not Significant,Not Significant
AHR,-0.323784806,9.69035455,-0.665349835,0.509393765,0.949077233,-4.921826836,Not Significant,Not Significant,Not Significant,Not Significant
MBNL1,-0.131969444,7.578546069,-0.665289002,0.509432286,0.949077233,-4.921851471,Not Significant,Not Significant,Not Significant,Not Significant
FAM98A,0.141189773,7.928730431,0.665250974,0.509456366,0.949077233,-4.92186687,Not Significant,Not Significant,Not Significant,Not Significant
ADAMTS2,-0.302046794,7.689385292,-0.66475149,0.50977271,0.949077233,-4.922069046,Not Significant,Not Significant,Not Significant,Not Significant
BRD2,-0.176473032,10.40348321,-0.664722177,0.509791279,0.949077233,-4.922080907,Not Significant,Not Significant,Not Significant,Not Significant
MBTPS1,0.160000602,9.676267235,0.664676547,0.509820185,0.949077233,-4.922099369,Not Significant,Not Significant,Not Significant,Not Significant
ARL8B,-0.218261654,10.34386767,-0.664561833,0.509892856,0.949077233,-4.922145775,Not Significant,Not Significant,Not Significant,Not Significant
ESRRA,0.148401952,8.108320836,0.664514129,0.509923079,0.949077233,-4.922165072,Not Significant,Not Significant,Not Significant,Not Significant
SNX2,-0.126811852,7.780840777,-0.664151877,0.510152612,0.949077233,-4.922311558,Not Significant,Not Significant,Not Significant,Not Significant
TMEM260,0.222752175,8.599843815,0.663960184,0.510274097,0.949077233,-4.922389042,Not Significant,Not Significant,Not Significant,Not Significant
ZNF646,0.151345047,7.328399501,0.663901431,0.510311335,0.949077233,-4.922412787,Not Significant,Not Significant,Not Significant,Not Significant
MPST,-0.196983554,9.0133385,-0.663772695,0.510392933,0.949077233,-4.922464807,Not Significant,Not Significant,Not Significant,Not Significant
SOX10,0.103268252,7.1762859,0.663686907,0.510447312,0.949077233,-4.922499467,Not Significant,Not Significant,Not Significant,Not Significant
COL16A1,0.381504668,8.598299425,0.663508321,0.510560525,0.949077233,-4.922571605,Not Significant,Not Significant,Not Significant,Not Significant
IL7R,-0.445927651,7.585790007,-0.663132488,0.510798826,0.9492627,-4.922723358,Not Significant,Not Significant,Not Significant,Not Significant
CSTF3,-0.246313458,8.529917011,-0.662956396,0.510910499,0.9492627,-4.922794431,Not Significant,Not Significant,Not Significant,Not Significant
ARHGEF5,0.253279899,8.611206636,0.661952529,0.511547382,0.949990074,-4.923199255,Not Significant,Not Significant,Not Significant,Not Significant
NOS1AP,0.100717816,7.303553578,0.661944657,0.511552378,0.949990074,-4.923202427,Not Significant,Not Significant,Not Significant,Not Significant
SMARCC2,-0.164028569,8.019582276,-0.661536871,0.511811212,0.95016457,-4.923366701,Not Significant,Not Significant,Not Significant,Not Significant
CHCHD3,-0.135384801,7.392095704,-0.661181614,0.512036763,0.95016457,-4.923509733,Not Significant,Not Significant,Not Significant,Not Significant
ANKLE2,0.168423906,7.834575467,0.660921009,0.512202254,0.95016457,-4.92361461,Not Significant,Not Significant,Not Significant,Not Significant
RNF130,0.080208845,7.144084239,0.66076732,0.512299864,0.95016457,-4.923676441,Not Significant,Not Significant,Not Significant,Not Significant
VBP1,-0.152810684,11.01945848,-0.660672072,0.512360362,0.95016457,-4.923714753,Not Significant,Not Significant,Not Significant,Not Significant
CEBPB,-0.159930352,12.58690551,-0.660613359,0.512397657,0.95016457,-4.923738368,Not Significant,Not Significant,Not Significant,Not Significant
PTMA,-0.146415254,12.32973795,-0.660255396,0.512625066,0.95035402,-4.923882293,Not Significant,Not Significant,Not Significant,Not Significant
ZNF264,0.159157659,7.531886013,0.65954032,0.513079509,0.950762695,-4.924169577,Not Significant,Not Significant,Not Significant,Not Significant
CCL4,0.363392811,8.564817838,0.659514214,0.513096104,0.950762695,-4.92418006,Not Significant,Not Significant,Not Significant,Not Significant
FASTKD5,0.202309882,9.186335603,0.658808049,0.513545104,0.951210935,-4.924463456,Not Significant,Not Significant,Not Significant,Not Significant
LPP,-0.118562895,8.153304693,-0.658739471,0.513588719,0.951210935,-4.924490961,Not Significant,Not Significant,Not Significant,Not Significant
TRAF4,0.216007048,7.618656113,0.658323282,0.513853455,0.95124271,-4.92465783,Not Significant,Not Significant,Not Significant,Not Significant
AMMECR1,-0.23366756,7.526834965,-0.658140408,0.513969804,0.95124271,-4.92473112,Not Significant,Not Significant,Not Significant,Not Significant
ENO2,0.440348972,9.08694407,0.658025286,0.514043055,0.95124271,-4.924777247,Not Significant,Not Significant,Not Significant,Not Significant
EIF4G2,-0.085919151,8.688588354,-0.65792429,0.514107322,0.95124271,-4.924817707,Not Significant,Not Significant,Not Significant,Not Significant
AAGAB,0.110708598,7.617928634,0.657190553,0.514574352,0.951717571,-4.925111472,Not Significant,Not Significant,Not Significant,Not Significant
AKTIP,-0.228173712,9.244874506,-0.657127004,0.514614812,0.951717571,-4.925136899,Not Significant,Not Significant,Not Significant,Not Significant
STAG1,-0.161884167,8.014613743,-0.656557237,0.514977647,0.951720456,-4.925364775,Not Significant,Not Significant,Not Significant,Not Significant
BSG,-0.276259115,10.36313481,-0.656223469,0.515190259,0.951720456,-4.925498174,Not Significant,Not Significant,Not Significant,Not Significant
ZBTB7B,0.114862995,8.331508049,0.656129674,0.515250015,0.951720456,-4.92553565,Not Significant,Not Significant,Not Significant,Not Significant
PDIA5,0.304056752,10.14754835,0.656113391,0.515260389,0.951720456,-4.925542155,Not Significant,Not Significant,Not Significant,Not Significant
MAST4,-0.15502764,7.453948263,-0.655172611,0.515859967,0.951720456,-4.925917747,Not Significant,Not Significant,Not Significant,Not Significant
DDX21,0.185216374,11.14644613,0.654574418,0.516241403,0.951720456,-4.926156294,Not Significant,Not Significant,Not Significant,Not Significant
SLBP,-0.361725727,10.46157426,-0.654103445,0.516541824,0.951720456,-4.926343959,Not Significant,Not Significant,Not Significant,Not Significant
ADIPOR2,0.182236528,10.13170406,0.654092109,0.516549055,0.951720456,-4.926348474,Not Significant,Not Significant,Not Significant,Not Significant
GMPPA,-0.154685494,8.226388366,-0.653692162,0.516804246,0.951720456,-4.926507732,Not Significant,Not Significant,Not Significant,Not Significant
PIGQ,0.095129657,7.980065895,0.653609961,0.516856704,0.951720456,-4.926540453,Not Significant,Not Significant,Not Significant,Not Significant
MSL1,0.127571308,9.346884762,0.653401391,0.516989818,0.951720456,-4.926623457,Not Significant,Not Significant,Not Significant,Not Significant
M6PR,-0.295125457,9.51772979,-0.653092711,0.517186859,0.951720456,-4.926746255,Not Significant,Not Significant,Not Significant,Not Significant
TP53BP2,-0.251909258,9.357634009,-0.653061038,0.517207079,0.951720456,-4.926758851,Not Significant,Not Significant,Not Significant,Not Significant
NAAA,-0.141381377,7.501483959,-0.652858063,0.51733667,0.951720456,-4.926839563,Not Significant,Not Significant,Not Significant,Not Significant
TSPAN12,0.383351123,8.283077444,0.652408375,0.517623838,0.951720456,-4.927018293,Not Significant,Not Significant,Not Significant,Not Significant
USP33,-0.135627703,8.589425194,-0.652157622,0.517784004,0.951720456,-4.927117904,Not Significant,Not Significant,Not Significant,Not Significant
SMN1,0.267082548,8.319410586,0.652125032,0.517804822,0.951720456,-4.927130847,Not Significant,Not Significant,Not Significant,Not Significant
FGF6,0.091639287,7.523895281,0.652088548,0.517828129,0.951720456,-4.927145336,Not Significant,Not Significant,Not Significant,Not Significant
CAMSAP2,-0.201200685,8.478356947,-0.651954023,0.51791407,0.951720456,-4.927198755,Not Significant,Not Significant,Not Significant,Not Significant
APOE,-0.415575861,9.803872583,-0.651845152,0.517983628,0.951720456,-4.927241978,Not Significant,Not Significant,Not Significant,Not Significant
CDKN2A,-0.490122321,8.114646794,-0.651603207,0.518138226,0.951720456,-4.92733801,Not Significant,Not Significant,Not Significant,Not Significant
ARHGAP25,-0.105614574,8.029600555,-0.650585989,0.518788475,0.951720456,-4.927741379,Not Significant,Not Significant,Not Significant,Not Significant
UBE2A,-0.175765361,10.19888053,-0.650355732,0.518935725,0.951720456,-4.9278326,Not Significant,Not Significant,Not Significant,Not Significant
H3C8,0.151494651,8.515001997,0.650135941,0.519076303,0.951720456,-4.927919645,Not Significant,Not Significant,Not Significant,Not Significant
PLEKHF2,-0.263422487,9.865658614,-0.650038646,0.51913854,0.951720456,-4.927958169,Not Significant,Not Significant,Not Significant,Not Significant
RBM10,0.148618213,9.812923511,0.649822421,0.519276866,0.951720456,-4.928043762,Not Significant,Not Significant,Not Significant,Not Significant
BEX3,-0.124959824,13.00046386,-0.649724936,0.519339237,0.951720456,-4.928082342,Not Significant,Not Significant,Not Significant,Not Significant
LAS1L,0.110467541,8.277575221,0.64970467,0.519352204,0.951720456,-4.928090362,Not Significant,Not Significant,Not Significant,Not Significant
FADD,-0.159603862,9.493786726,-0.649575622,0.519434776,0.951720456,-4.928141424,Not Significant,Not Significant,Not Significant,Not Significant
SPTSSA,-0.220801306,9.654112899,-0.649435049,0.51952473,0.951720456,-4.928197034,Not Significant,Not Significant,Not Significant,Not Significant
ACOT8,0.183659428,7.635278267,0.649278964,0.519624621,0.951720456,-4.928258768,Not Significant,Not Significant,Not Significant,Not Significant
RRS1,-0.206987723,10.05115658,-0.649222264,0.51966091,0.951720456,-4.92828119,Not Significant,Not Significant,Not Significant,Not Significant
FEZ2,0.117762394,8.573162758,0.64893852,0.519842532,0.951720456,-4.928393367,Not Significant,Not Significant,Not Significant,Not Significant
AIP,0.154244219,9.38441272,0.648876153,0.519882457,0.951720456,-4.928418017,Not Significant,Not Significant,Not Significant,Not Significant
PRDM1,-0.148173251,8.165494127,-0.648748838,0.519963965,0.951720456,-4.928468331,Not Significant,Not Significant,Not Significant,Not Significant
RABL6,-0.147245821,8.71408943,-0.648672872,0.520012601,0.951720456,-4.928498347,Not Significant,Not Significant,Not Significant,Not Significant
NDST1,0.12092969,7.399643447,0.648576802,0.520074114,0.951720456,-4.928536302,Not Significant,Not Significant,Not Significant,Not Significant
H2BC9,-0.367035812,8.858302431,-0.648566647,0.520080616,0.951720456,-4.928540314,Not Significant,Not Significant,Not Significant,Not Significant
CLPB,0.113668728,7.079330856,0.648388117,0.520194937,0.951720456,-4.928610832,Not Significant,Not Significant,Not Significant,Not Significant
S100A11,-0.206648378,12.02666913,-0.64823576,0.520292508,0.951720456,-4.928670996,Not Significant,Not Significant,Not Significant,Not Significant
ALDH1L1,0.151131206,7.126956584,0.648114944,0.520369887,0.951720456,-4.928718696,Not Significant,Not Significant,Not Significant,Not Significant
RBMS1,0.206039352,10.4896116,0.647909233,0.520501653,0.951720456,-4.928799893,Not Significant,Not Significant,Not Significant,Not Significant
RPS10,0.086688965,12.41634018,0.647649556,0.520668013,0.951720456,-4.928902356,Not Significant,Not Significant,Not Significant,Not Significant
HGH1,-0.177891699,9.440118543,-0.647417893,0.520816449,0.951720456,-4.928993731,Not Significant,Not Significant,Not Significant,Not Significant
KHDRBS1,-0.10849213,10.46285776,-0.646856731,0.521176102,0.951720456,-4.929214939,Not Significant,Not Significant,Not Significant,Not Significant
CEACAM3,0.09456092,7.430323589,0.646241625,0.521570482,0.951720456,-4.929457197,Not Significant,Not Significant,Not Significant,Not Significant
CLCN7,-0.131272692,8.533430978,-0.646136463,0.521637923,0.951720456,-4.929498592,Not Significant,Not Significant,Not Significant,Not Significant
CKS2,-0.296196354,10.77865586,-0.645840849,0.521827527,0.951720456,-4.929614921,Not Significant,Not Significant,Not Significant,Not Significant
RBFA,0.106685291,7.33974711,0.645684706,0.52192769,0.951720456,-4.929676345,Not Significant,Not Significant,Not Significant,Not Significant
MEGF6,-0.291437586,8.173527745,-0.645564931,0.522004531,0.951720456,-4.929723452,Not Significant,Not Significant,Not Significant,Not Significant
TXNL1,-0.198902862,7.463814583,-0.645552546,0.522012477,0.951720456,-4.929728323,Not Significant,Not Significant,Not Significant,Not Significant
NT5DC3,0.104675888,6.76733263,0.645454182,0.522075587,0.951720456,-4.929767002,Not Significant,Not Significant,Not Significant,Not Significant
CYP1A2,0.113408551,7.471362004,0.645379488,0.522123513,0.951720456,-4.92979637,Not Significant,Not Significant,Not Significant,Not Significant
RANBP6,-0.243867155,8.778839469,-0.644713604,0.522550868,0.951720456,-4.930058034,Not Significant,Not Significant,Not Significant,Not Significant
